Category: All categories

Week,Wayfair: (United States)
2019-07-21,23
2019-07-28,23
2019-08-04,22
2019-08-11,23
2019-08-18,22
2019-08-25,23
2019-09-01,25
2019-09-08,20
2019-09-15,21
2019-09-22,21
2019-09-29,20
2019-10-06,20
2019-10-13,21
2019-10-20,22
2019-10-27,22
2019-11-03,25
2019-11-10,25
2019-11-17,28
2019-11-24,32
2019-12-01,29
2019-12-08,22
2019-12-15,19
2019-12-22,22
2019-12-29,28
2020-01-05,24
2020-01-12,23
2020-01-19,24
2020-01-26,22
2020-02-02,21
2020-02-09,24
2020-02-16,25
2020-02-23,24
2020-03-01,24
2020-03-08,23
2020-03-15,22
2020-03-22,25
2020-03-29,30
2020-04-05,34
2020-04-12,38
2020-04-19,42
2020-04-26,45
2020-05-03,46
2020-05-10,43
2020-05-17,46
2020-05-24,43
2020-05-31,37
2020-06-07,37
2020-06-14,37
2020-06-21,35
2020-06-28,38
2020-07-05,93
2020-07-12,100
2020-07-19,41
2020-07-26,38
2020-08-02,37
2020-08-09,34
2020-08-16,33
2020-08-23,31
2020-08-30,32
2020-09-06,31
2020-09-13,27
2020-09-20,32
2020-09-27,27
2020-10-04,25
2020-10-11,28
2020-10-18,27
2020-10-25,26
2020-11-01,22
2020-11-08,29
2020-11-15,30
2020-11-22,36
2020-11-29,32
2020-12-06,25
2020-12-13,23
2020-12-20,21
2020-12-27,30
2021-01-03,28
2021-01-10,28
2021-01-17,28
2021-01-24,25
2021-01-31,26
2021-02-07,24
2021-02-14,25
2021-02-21,25
2021-02-28,25
2021-03-07,24
2021-03-14,27
2021-03-21,27
2021-03-28,25
2021-04-04,24
2021-04-11,24
2021-04-18,25
2021-04-25,30
2021-05-02,23
2021-05-09,22
2021-05-16,23
2021-05-23,24
2021-05-30,24
2021-06-06,21
2021-06-13,19
2021-06-20,20
2021-06-27,20
2021-07-04,20
2021-07-11,20
2021-07-18,18
2021-07-25,18
2021-08-01,19
2021-08-08,17
2021-08-15,20
2021-08-22,21
2021-08-29,21
2021-09-05,21
2021-09-12,20
2021-09-19,19
2021-09-26,18
2021-10-03,18
2021-10-10,19
2021-10-17,18
2021-10-24,18
2021-10-31,18
2021-11-07,21
2021-11-14,20
2021-11-21,24
2021-11-28,22
2021-12-05,19
2021-12-12,17
2021-12-19,15
2021-12-26,22
2022-01-02,24
2022-01-09,23
2022-01-16,23
2022-01-23,22
2022-01-30,24
2022-02-06,23
2022-02-13,22
2022-02-20,26
2022-02-27,22
2022-03-06,22
2022-03-13,23
2022-03-20,23
2022-03-27,20
2022-04-03,21
2022-04-10,21
2022-04-17,21
2022-04-24,30
2022-05-01,21
2022-05-08,19
2022-05-15,20
2022-05-22,20
2022-05-29,21
2022-06-05,20
2022-06-12,18
2022-06-19,19
2022-06-26,20
2022-07-03,20
2022-07-10,20
2022-07-17,19
2022-07-24,19
2022-07-31,20
2022-08-07,19
2022-08-14,20
2022-08-21,19
2022-08-28,19
2022-09-04,19
2022-09-11,17
2022-09-18,16
2022-09-25,15
2022-10-02,16
2022-10-09,18
2022-10-16,17
2022-10-23,22
2022-10-30,18
2022-11-06,19
2022-11-13,21
2022-11-20,25
2022-11-27,22
2022-12-04,17
2022-12-11,16
2022-12-18,14
2022-12-25,21
2023-01-01,20
2023-01-08,21
2023-01-15,20
2023-01-22,19
2023-01-29,19
2023-02-05,18
2023-02-12,18
2023-02-19,22
2023-02-26,19
2023-03-05,18
2023-03-12,18
2023-03-19,18
2023-03-26,18
2023-04-02,18
2023-04-09,17
2023-04-16,18
2023-04-23,25
2023-04-30,18
2023-05-07,19
2023-05-14,18
2023-05-21,21
2023-05-28,21
2023-06-04,18
2023-06-11,19
2023-06-18,19
2023-06-25,20
2023-07-02,22
2023-07-09,18
2023-07-16,19
2023-07-23,18
2023-07-30,18
2023-08-06,18
2023-08-13,18
2023-08-20,17
2023-08-27,18
2023-09-03,19
2023-09-10,15
2023-09-17,16
2023-09-24,15
2023-10-01,15
2023-10-08,16
2023-10-15,16
2023-10-22,18
2023-10-29,16
2023-11-05,18
2023-11-12,19
2023-11-19,24
2023-11-26,21
2023-12-03,17
2023-12-10,15
2023-12-17,15
2023-12-24,18
2023-12-31,19
2024-01-07,17
2024-01-14,18
2024-01-21,16
2024-01-28,14
2024-02-04,15
2024-02-11,16
2024-02-18,18
2024-02-25,16
2024-03-03,16
2024-03-10,16
2024-03-17,15
2024-03-24,15
2024-03-31,15
2024-04-07,15
2024-04-14,15
2024-04-21,15
2024-04-28,18
2024-05-05,19
2024-05-12,14
2024-05-19,16
2024-05-26,17
2024-06-02,15
2024-06-09,14
2024-06-16,15
2024-06-23,14
2024-06-30,16
2024-07-07,14
2024-07-14,14
2024-07-21,15
